model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	count	fss
NAMnest_mem000	REFC	000000	>=50	9	31	0.028128178709677418
NAMnest_mem000	REFC	010000	>=50	9	31	0.032541539999999994
NAMnest_mem000	REFC	020000	>=50	9	31	0.01875782838709678
NAMnest_mem000	REFC	030000	>=50	9	31	0.011307015483870966
NAMnest_mem000	REFC	040000	>=50	9	31	0.016104270322580643
NAMnest_mem000	REFC	050000	>=50	9	31	0.016946390322580645
NAMnest_mem000	REFC	060000	>=50	9	31	0.01343170322580645
NAMnest_mem000	REFC	070000	>=50	9	31	0.015632692903225807
NAMnest_mem000	REFC	080000	>=50	9	31	0.010909480290322581
NAMnest_mem000	REFC	090000	>=50	9	31	0.014573569677419356
NAMnest_mem000	REFC	100000	>=50	9	31	0.017062469032258065
NAMnest_mem000	REFC	110000	>=50	9	31	0.011968102580645162
NAMnest_mem000	REFC	120000	>=50	9	31	0.01256483548387097
NAMnest_mem000	REFC	130000	>=50	9	31	0.013784259032258063
NAMnest_mem000	REFC	140000	>=50	9	31	0.02212750387096774
NAMnest_mem000	REFC	150000	>=50	9	31	0.008042821612903227
NAMnest_mem000	REFC	160000	>=50	9	31	0.007668490322580646
NAMnest_mem000	REFC	170000	>=50	9	31	0.014098284838709677
NAMnest_mem000	REFC	180000	>=50	9	31	0.005893164193548387
NAMnest_mem000	REFC	190000	>=50	9	31	0.010619057419354837
NAMnest_mem000	REFC	200000	>=50	9	31	0.01223766387096774
NAMnest_mem000	REFC	210000	>=50	9	31	0.012189607419354839
NAMnest_mem000	REFC	220000	>=50	9	31	0.00580419806451613
NAMnest_mem000	REFC	230000	>=50	9	31	0.010276325483870969
NAMnest_mem000	REFC	240000	>=50	9	31	0.01389846
NAMnest_mem000	REFC	250000	>=50	9	31	0.011905004193548386
NAMnest_mem000	REFC	260000	>=50	9	31	0.009053170967741936
NAMnest_mem000	REFC	270000	>=50	9	31	0.014019582903225804
NAMnest_mem000	REFC	280000	>=50	9	31	0.01309682741935484
NAMnest_mem000	REFC	290000	>=50	9	31	0.011665732258064518
NAMnest_mem000	REFC	300000	>=50	9	31	0.00825618258064516
NAMnest_mem000	REFC	310000	>=50	9	31	0.009424099677419353
NAMnest_mem000	REFC	320000	>=50	9	31	0.006128108387096774
NAMnest_mem000	REFC	330000	>=50	9	31	0.005026419999999999
NAMnest_mem000	REFC	340000	>=50	9	31	0.004877142903225806
NAMnest_mem000	REFC	350000	>=50	9	31	0.006076134516129032
NAMnest_mem000	REFC	360000	>=50	9	31	0.008646339677419354
NAMnest_mem000	REFC	370000	>=50	9	31	0.005324574193548388
NAMnest_mem000	REFC	380000	>=50	9	31	0.006019193548387097
NAMnest_mem000	REFC	390000	>=50	9	31	0.0030176596774193548
NAMnest_mem000	REFC	400000	>=50	9	31	0.0027463151612903227
NAMnest_mem000	REFC	410000	>=50	9	31	0.000824258064516129
NAMnest_mem000	REFC	420000	>=50	9	31	0.0024163741935483867
NAMnest_mem000	REFC	430000	>=50	9	31	0.005213741935483871
NAMnest_mem000	REFC	440000	>=50	9	31	0.005072582258064515
NAMnest_mem000	REFC	450000	>=50	9	31	0.006703703870967742
NAMnest_mem000	REFC	460000	>=50	9	31	0.004840430645161291
NAMnest_mem000	REFC	470000	>=50	9	31	0.005298273548387098
NAMnest_mem000	REFC	480000	>=50	9	31	0.007260281612903225
NAMnest_mem000	REFC	490000	>=50	9	31	0.007434395806451614
NAMnest_mem000	REFC	500000	>=50	9	31	0.007320667741935484
NAMnest_mem000	REFC	510000	>=50	9	31	0.005043690967741935
NAMnest_mem000	REFC	520000	>=50	9	31	0.006762036129032258
NAMnest_mem000	REFC	530000	>=50	9	31	0.0040570516129032255
NAMnest_mem000	REFC	540000	>=50	9	31	0.006653758064516129
NAMnest_mem000	REFC	550000	>=50	9	31	0.006564436451612903
NAMnest_mem000	REFC	560000	>=50	9	31	0.002710474193548387
NAMnest_mem000	REFC	570000	>=50	9	31	0.0022398190322580644
NAMnest_mem000	REFC	580000	>=50	9	31	0.002578361290322581
NAMnest_mem000	REFC	590000	>=50	9	31	0.0024140661290322583
NAMnest_mem000	REFC	600000	>=50	9	31	0.0035343741935483877
